job_id,title,company,Industry,location,posting_date
1,Senior Machine Learning Engineer,Jobs for Humanity,Agricultural-Research Engineer,"New Haven, CT",2024-01-14
2,"Principal Software Engineer, ML Accelerators",Aurora,Set-Key Driver,"San Francisco, CA",2024-01-14
3,Senior ETL Data Warehouse Specialist,Adame Services LLC,Technical Support Specialist,"New York, NY",2024-01-14
4,Senior Data Warehouse Developer / Architect,Morph Enterprise,Architect,"Harrisburg, PA",2024-01-12
5,Lead Data Engineer,Dice,Maintenance Data Analyst,"Plano, TX",2024-01-14
6,Senior Data Engineer,University of Chicago,Data Base Administrator,"Chicago, IL",2024-01-14
7,"Manager, Cyber Risk & Analysis (Machine Learning)",Jobs for Humanity,Manager Reports Analysis,"Boston, MA",2024-01-16
8,"Principal Associate, Data Loss Prevention (DLP) Engineer",Jobs for Humanity,Architect,"Scranton, PA",2024-01-14
9,Senior Financial Data Analyst,The Walt Disney Company,Budget Officer,"Lake Buena Vista, FL",2024-01-15
10,Machine Learning Infrastructure Engineer,L&T Technology Services,Test Fixture Designer,"Sunnyvale, CA",2024-01-14
11,Sr. Workforce Management Data Analyst,"Wisemen Multimedia, LLC",Management Analyst,"Atlanta, GA",2024-01-13
12,Master Data Management - Data/Process Analyst,OpenText,Actuary,"Pasadena, CA",2024-01-15
13,4 Corporate Associate Positions (AmLaw),LHH,Floor Worker,"Atlanta, GA",2024-01-16
14,Sr. Database Administrator,Dice,Data Base Administrator,"Yorba Linda, CA",2024-01-14
15,Senior MLOps Engineer,Recruiting from Scratch,Value Engineer,"Atlanta, GA",2024-01-14
16,Data Engineer Manager,Energy Jobline,Agricultural-Research Engineer,"Wolverhampton, England, United Kingdom",2024-01-14
17,Data Analyst Part Time,Toyandsons,Data Entry Clerk,"Waterloo, Ontario, Canada",2024-01-14
18,Summer 2024 Datacenter Hardware Validation Engineer Undergrad Co-Op/ Intern,AMD,Die-Maker Apprentice,"Austin, TX",2024-01-15
19,Enterprise Data Manager/Product owner,DMVTEK,Manager Department,State College-DuBois Area,2024-01-14
20,IT Database Developer Senior - DBA Admin,Experis,Data Base Administrator,"Minneapolis, MN",2024-01-14
21,Contractor - Epic Clarity Data Analyst - Revenue Cycle,Deloitte,Data Entry Clerk,"Mississippi, United States",2024-01-14
22,Data Engineering Architect,Dice,Value Engineer,"Greenwood Village, CO",2024-01-14
23,"Staff Data Engineer, Fleet Analytics",Tesla,Data Communications Analyst,"Palo Alto, CA",2024-01-14
24,"Senior Data Engineer - Azure, Python, Scala, Spark",Templeton and Partners - Tech Recruitment,Loading-Machine Tool-Setter,"London, England, United Kingdom",2024-01-16
25,"Senior Data Engineer, Public Company",Recruiting from Scratch,Systems Analyst,"St Louis, MO",2024-01-14
26,IT- Data Lifecycle Manager,LaBella Associates,Folder,"Albany, NY",2024-01-16
27,"Lead Software Engineer, Full Stack (Enterprise Data)",Jobs for Humanity,Computer Programmer,"Fredericksburg, VA",2024-01-14
28,Senior Architect - Data Analytics Product Line,"RSC2, Inc.",Architect,"Washington, DC",2024-01-14
29,VCP Design to Value Project Manager and Data Analyst-MR,GE HealthCare,Data Entry Clerk,"Waukesha, WI",2024-01-14
30,"Lead Data Engineer, (Python, Java or Scala)",Dice,Electrical-Research Engineer,"Philadelphia, PA",2024-01-14
31,Data Scientist,Futran Solutions,Biologist,"Dallas, TX",2024-01-12
32,Senior Data Analyst,Huws Gray,Mathematician,"Awsworth, England, United Kingdom",2024-01-16
33,Data Visualization / Business Intelligence Analyst (3019),SMX,Data Entry Clerk,"Port Hueneme, CA",2024-01-14
34,"Principal Associate, Data Loss Prevention (DLP) Engineer",Jobs for Humanity,Data Communications Analyst,"Paris, TX",2024-01-14
35,Data Scientist,RAND Corporation,Geophysicist,"Washington, DC",2024-01-16
36,Senior Data Architect,UK Health Security Agency,Copy Holder,"National, MD",2024-01-15
37,"Senior Data Engineer, Public Company",Recruiting from Scratch,Computer Operator,"West Lafayette, IN",2024-01-14
38,"Data Quality Manager, FOOTBALL ASSOCIATION",Guardian Jobs,Supervisor Files,"Wembley, England, United Kingdom",2024-01-14
39,Senior ML Engineer,CyberCoders,Electronics-Test Engineer,"Santa Clara, CA",2024-01-14
40,"Director, Ontology and Data Modeling",Jobs for Humanity,Director Translation,"Richmond, VA",2024-01-15
41,Sr. Data Scientist,ANSER,Chemist,"Washington, DC",2024-01-14
42,Sr. Data Engineer - ETL with Security Clearance,ClearanceJobs,Loading-Machine Tool-Setter,"Chantilly, VA",2024-01-16
43,Assitant Vice President - Senior Database SME,MUFG,Manager Forms Analysis,"London, England, United Kingdom",2024-01-16
44,Sr Analyst IT - Data Science,Reynolds American Inc.,Data Entry Clerk,"Winston-Salem, NC",2024-01-14
45,Electrical Data Center Project Manager,Miller Electric Company,Miller Supervisor,"Dallas, TX",2024-01-16
46,"Distinguished Engineer, Card Tech Data (Remote-Elligble)",Jobs for Humanity,Data Communications Technician,"Boston, MA",2024-01-15
47,Quality Coach / IQA - IT and Data Apprenticeships,KM Education Recruitment,Recruiter,"Sheffield, England, United Kingdom",2024-01-14
48,"Staff Data Scientist, Financial Strategy",Stripe,Geophysicist,"Seattle, WA",2024-01-16
49,"Senior Counsel, Data Privacy and Cybersecurity",Professional Diversity Network,Computer Security Specialist,"Cypress, CA",2024-01-15
50,Data Engineering Manager - San Antonio,Argo Group,Electrical-Installation Supervisor,"San Antonio, TX",2024-01-15
51,Data Operations Manager,Tredence Inc.,Supervisor Pipelines,"St Louis, MO",2024-01-17
52,Configuration and CDRL Data Manager II/III (Top Secret),Aegis Aerospace Inc.,Configuration Management Analyst,"San Antonio, TX",2024-01-15
53,"RDM Release Manager, Data Center and DMZ",Bank of America,Director Translation,"Charlotte, NC",2024-01-15
54,Contractor - Epic Clarity Data Analyst - Revenue Cycle,Deloitte,Tumor Registrar,"Georgia, United States",2024-01-14
55,Superintendent - Data Center - Indianapolis,Michael Page,Superintendent Local,"Indianapolis, IN",2024-01-14
56,Sr. Data Engineer,Experfy,Computer Systems Hardware Analyst,"Houston, TX",2024-01-13
57,RA/QA Post Market Data Analyst,"Amick Brown - SAP, Cloud Technologies and Business Intelligence Staffing & Consulting",Job Analyst,"California, United States",2024-01-14
58,Medical Laboratory Scientist MLS-MT - Incentive Eligible,"St. Luke's Duluth, MN",Medical Technologist,"Duluth, MN",2024-01-14
59,Registered Nurse (RN) - Medical Laboratory Tech (MLT) - Per Diem at HealthTrust Workforce Solutions,Health eCareers,Cytotechnologist,"Austin, TX",2024-01-15
60,"Sr ML Engineering Manager , Firefly App Integrations",Adobe,Model Artists',"San Jose, CA",2024-01-16
61,"Sales Representative, CoStar Data & Analytics - Washington D.C.",CoStar Group,Sales Representative,"Washington, DC",2024-01-14
62,Data Warehouse Analyst,Elevance Health,Data Entry Clerk,"Arlington, VA",2024-01-14
63,Data Manager,Yale University,Model,"New Haven, CT",2024-01-14
64,Medical Technologist MT or MLT,Gables Search Group,Aquatic Biologist,"Columbus, OH",2024-01-15
65,Data Analyst,Quantum World Technologies Inc.,Operations-Research Analyst,"Mountain View, CA",2024-01-16
66,Sr. Data Engineer (Hybrid),Jobs for Humanity,Agricultural-Research Engineer,"Paris, TX",2024-01-14
67,"Technical Lead, Edge Data Center Operations",Roblox,Cargo Checker,"Ashburn, VA",2024-01-14
68,Supply Chain Data Analyst,DENSO,Mathematician,"Maryville, TN",2024-01-16
69,"Manager, Data Loss Prevention (DLP) Engineer (Symantec)",Jobs for Humanity,Data Communications Analyst,"Joliet, IL",2024-01-14
70,Data Steward - Research Analysis Spec Sr,State of Minnesota,Data Communications Technician,"Alexandria, MN",2024-01-15
71,Contractor - Epic Clarity Data Analyst - Revenue Cycle,Deloitte,Mathematician,"Texas, United States",2024-01-16
72,Laboratory Data Manager,The Institute of Cancer Research,Investigator,"Sutton, England, United Kingdom",2024-01-16
73,Customer Service Representative/Data Analyst/Data Entry Clerk,Univisioncommunicationsinc,Customer-Service Clerk,"Pictou, Nova Scotia, Canada",2024-01-14
74,Data Coordinator,Cottingham & Butler,Butler,"Pittsburgh, PA",2024-01-15
75,"Senior Manager, Machine Learning Engineering",ClickJobs.io,Manager Records Analysis,"Hartford, CT",2024-01-14
76,"Manager, Data Loss Prevention (DLP) Engineer (Symantec)",Jobs for Humanity,Architect,"Fredericksburg, VA",2024-01-14
77,Data Engineer,Jobs for Humanity,Tool-And-Die Supervisor,"Hartford, CT",2024-01-17
78,Senior Machine Learning Engineer,Jobs for Humanity,Agricultural-Research Engineer,"Fredericksburg, VA",2024-01-14
79,Audit Manager - Data/Tech (BSA/AML including Sanctions),Bank of America,Accountant Systems,"Charlotte, NC",2024-01-15
80,Business Data Analyst - III (701569),The Judge Group,Data Communications Analyst,"Temple Terrace, FL",2024-01-14
81,"Data Center Project Manager, US-West CPI",Amazon Web Services (AWS),Manager Records Analysis,"Umatilla, OR",2024-01-14
82,Clinical Data Steward,Steneral Consulting,Steward/Stewardess,"Bloomfield, CT",2024-01-14
83,Senior Full-Stack Machine Learning Engineer- OPTIX,GA-CCRi,Agricultural-Research Engineer,"Charlottesville, VA",2024-01-14
84,SR FIELD APPLICATION ENGINEER- DATA & DEVICES,TE Connectivity,Customer-Equipment Engineer,"Silicon Valley, CA",2024-01-14
85,Senior Data Analysis Engineer,Nikola Corporation,Data Base Administrator,"Phoenix, AZ",2024-01-14
86,Technical Data Engineering Manager,SRS Distribution Inc.,Chief Engineer,"McKinney, TX",2024-01-15
87,"Staff Machine Learning Engineer, Series A",Recruiting from Scratch,Test Fixture Designer,"Cincinnati, OH",2024-01-14
88,"Principal Associate, Data Loss Prevention (DLP) Engineer",Jobs for Humanity,Architect,"Charlottesville, VA",2024-01-14
89,Contractor - Epic Clarity Data Analyst,Deloitte,Actuary,"New York, United States",2024-01-15
90,Senior People Data Scientist,Atlassian,Mathematician,"San Francisco, CA",2024-01-16
91,IT- Data Lifecycle Manager,LaBella Associates,Folder,"Poughkeepsie, NY",2024-01-16
92,Senior Machine Learning Engineer,Jobs for Humanity,Agricultural-Research Engineer,"Waco, TX",2024-01-14
93,NCDHHS- Health Informatics Data Analyst,NR Consulting,Data Communications Technician,"North Carolina, United States",2024-01-15
94,Data Center Ops Analyst,NTT DATA Services,Data Entry Clerk,"Quincy, WA",2024-01-14
95,Senior Battery Data Scientist,Factorial Energy,Biochemist,"Billerica, MA",2024-01-15
96,Clinical Data Operator - Temp,Natera,Take-Up Operator,"Pleasanton, CA",2024-01-14
97,"Lead Machine Learning Engineer (Bangkok based, relocation provided)",Agoda,Agricultural-Research Engineer,"Oakland, CA",2024-01-14
98,Principal Machine Learning Engineer,Baker Hughes,Baker,"Austin, TX",2024-01-15
99,Lead Data & Analytics Engineer,Northreach,Loading-Machine Tool-Setter,"London, England, United Kingdom",2024-01-16
100,Volunteer: NHQ:IT - Enterprise Web Services - Code4Good Volunteer - Data Scientist,VolunteerMatch,Biologist,"Washington, DC",2024-01-12
101,Lead Data Scientist,Infosys,Microbiologist,"Phoenix, AZ",2024-01-14
102,TT Assistant Professor - Data Science,University of New Haven,Instructor,"West Haven, CT",2024-01-14
103,"Senior Manager, Machine Learning Engineering",Jobs for Humanity,Vendor,"Harrisonburg, VA",2024-01-14
104,Associate SAS Data Analyst (Placement),Celerion,Data Entry Clerk,"Belfast, Northern Ireland, United Kingdom",2024-01-14
105,"IIB, Datapower/APIC Lead Developer",Extend Information Systems Inc.,Color Developer,"Richardson, TX",2024-01-15
106,Senior Database Administrator,Professional Diversity Network,Data Base Administrator,"Washington, DC",2024-01-14
107,"Staff Machine Learning Engineer, Series A",Recruiting from Scratch,Programmer Engineering And Scientific,"Boston, MA",2024-01-16
108,Database Engineer,Pierce,Agricultural-Research Engineer,"Melbourne, FL",2024-01-14
109,Data Engineer,Verigent,Engine-Testing Supervisor,"Washington, DC",2024-01-16
110,Enrollment Management CRM & Data Specialist,Harris-Stowe State University,Director Education,"St Louis, MO",2024-01-14
111,"Summer Fellow - Project Management, Data Analytics, Strategy, Operations",Education Pioneers,Charter,"Chicago, IL",2024-01-14
112,"Senior Data Scientist, Product Growth",Jerry,Microbiologist,"Toronto, Ontario, Canada",2024-01-14
113,MLS Dayshift Lead - Short Pump Emergency Center,Bon Secours,Supervisor Instrument Maintenance,"Henrico, VA",2024-01-16
114,Azure Data Architect,VeeAR Projects Inc.,Architect,"Sacramento, CA",2024-01-12
115,Senior Marketing Data Operations Specialist,Baker Tilly US,Baker,"Houston, TX",2024-01-15
116,Clinical Data Analyst/Coordinator,LVIS,Mathematician,"Palo Alto, CA",2024-01-16
117,Mechanical Supervisor - MLC 2312,Energy Jobline,Electrical Supervisor,"Harwell, England, United Kingdom",2024-01-14
118,Commissioning Senior Specialist - Data Center (Travel Required),Olsson,Travel Agent,"Omaha, NE",2024-01-14
119,"Manager, Data Engineering",Paramount+,Director Social,"Fort Lauderdale, FL",2024-01-14
120,Data Conversion & Integration Support Lead,Stevens Institute of Technology,Director Stage,"Hoboken, NJ",2024-01-14
121,Sr. Data Scientist,ManTech,Mathematician,"Sterling, VA",2024-01-16
122,Data Security Analyst,Robert Half,Data Entry Clerk,"Plano, TX",2024-01-14
123,Data Analytics Audit Project Manager,U.S. Bank,Manager Stage,"Atlanta, GA",2024-01-14
124,Head of Data Science - Actuary/Risk,Harnham,Principal,Buffalo-Niagara Falls Area,2024-01-14
125,Data Scientist,iTech Solutions,Geophysicist,"San Jose, CA",2024-01-16
126,Principal Technical Data Analyst,Intuit,Actuary,"Mountain View, CA",2024-01-15
127,"Canvas Consultant (Member Service Specialist) - Littleton, NMLS",Canvas Credit Union,Consultant Education,"Littleton, CO",2024-01-14
128,"Manager, Data - Corrugated Products",WestRock Company,Supervisor Mapping,"Atlanta, GA",2024-01-17
129,Data Scientist,Anika Systems,Agricultural-Research Engineer,"Leesburg, VA",2024-01-14
130,"Sr. ML Software Engineer, AI Platform",Rivian,Tool Grinder Ii,"Palo Alto, CA",2024-01-17
131,Data Entry Specialist,Fōcus - an Ōnin Group company,Scanner,"Louisville, KY",2024-01-14
132,Manager of Supply Chain Data Analytics,Canada Goose,Supervisor,"Toronto, Ontario, Canada",2024-01-14
133,Data Engineer ETL Expert (2021-0140),Acclaim Technical Services,Tool-And-Die Supervisor,"Chantilly, VA",2024-01-17
134,Lead Data Engineer (FinOps),Jobs for Humanity,Agricultural-Research Engineer,"Harrisonburg, VA",2024-01-14
135,Data Center Engineer,Datacenter People,Computer Operator,"Manassas, VA",2024-01-14
136,Principal Clinical Data Scientist - Focus on Statistics,Boehringer Ingelheim,Principal,"Ridgefield, CT",2024-01-14
137,Senior Data Engineering Advisor,Oil and Gas Job Search Ltd,Solutions Operator,"Calgary, Alberta, Canada",2024-01-14
138,Environmental Data Management Specialist,Tetra Tech,Environmental Analyst,"Lafayette, CA",2024-01-16
139,Senior Database Developer,Aperia,Data Base Administrator,"Alpharetta, GA",2024-01-14
140,Medical Lab Scientist (MLS),McLaren Health Care,Biologist,"Flint, MI",2024-01-14
141,SENIOR BUSINESS DATA ANALYST,Jobs for Humanity,Mathematician,"Camden, NJ",2024-01-16
142,"Staff Machine Learning Engineer, Series A",Recruiting from Scratch,Programmer Engineering And Scientific,"Austin, TX",2024-01-16
143,Medical Technologist MT or MLT,Oculus Search Partners LLC,Biologist,"Columbus, OH",2024-01-12
144,Data Scientist,Keylent Inc,Biologist,"Roswell, GA",2024-01-12
145,Data Scientist with AL & ML,Saransh Inc,Biologist,"Los Angeles, CA",2024-01-12
146,Sr.Data Center Engineer,Dice,Treating Engineer,"Denver, CO",2024-01-17
147,Senior BSA/AML Records Specialist,NBT Bank,Record Clerk,"Lakeville, CT",2024-01-14
148,Data Center Technician II,"IDR, Inc.",Assembler,"Tacoma, WA",2024-01-12
149,Python Data Engineer,"Logic20/20, Inc.",Computer Programmer,"Denver, CO",2024-01-13
150,Data Control Clerk II,University of Rochester,Clerk General,"Medicine, NE",2024-01-13
151,AWS Data Engineer,LTI - Larsen & Toubro Infotech,Computer Programmer,"Hartford, CT",2024-01-13
152,Datacentre Technician,MFA Talent Services,Assembler,"London, England, United Kingdom",2024-01-12
153,Senior Data Scientist,Adobe,Mathematician,"San Francisco, CA",2024-01-16
154,Traveling MEP Manager - MSG - Data Centers,Turner Construction Company,Mechanical-Design Engineer Facilities,"Detroit, MI",2024-01-16
155,Lead Data Scientist,ClickJobs.io,Biochemist,"Montreal, Quebec, Canada",2024-01-15
156,Data Engineer - Mastery,Jobs for Humanity,Agricultural-Research Engineer,"Hartford, CT",2024-01-12
157,Data Engineer,Outdefine,Maintenance Data Analyst,"Plano, TX",2024-01-13
158,Data Engineer/Analyst,SQUAD Techlab,Data Entry Clerk,"Fremont, CA",2024-01-13
159,Staff Data Engineer,SIPE Education,Data Base Administrator,"San Francisco, CA",2024-01-13
160,"Data Reporting and Analytics Consultant II / Biostatistician, Epidemiologic Research",Kaiser Permanente,Data Communications Analyst,"Pasadena, CA",2024-01-13
161,"Manager, Data Analyst",KPMG US,Data Communications Analyst,"Orlando, FL",2024-01-13
162,Data Analyst,"AVER, LLC",Data Communications Analyst,"Washington, DC",2024-01-13
163,Senior Data Analyst,Level 11,Data Entry Clerk,"Chesterfield, England, United Kingdom",2024-01-13
164,Data and Reporting Analyst,Talent,Data Entry Clerk,"Melbourne, Victoria, Australia",2024-01-13
165,"Data Analyst, Privacy - Kiewit Technology Group",Kiewit,Data Communications Analyst,"Omaha, NE",2024-01-13
166,Staff Business Data Analyst,Intuit,Data Communications Analyst,"Mountain View, CA",2024-01-13
167,"Manager, Cyber Risk & Analysis (Machine Learning)",Jobs for Humanity,Director Educational Program,"McLean, VA",2024-01-13
168,Staff data engineer,bp,Developer,Greater Houston,2024-01-13
169,Data Manager,Harnham,Director Stage,"Nottingham, England, United Kingdom",2024-01-13
170,Senior Data Analyst (On-site),"HEPCO, Inc.",Maintenance Data Analyst,"New York, NY",2024-01-13
171,Machine Learning Software Developer (Software Engineer 3) - 17346,"Mission Technologies, a division of HII",Electronics-Test Engineer,"Virginia Beach, VA",2024-01-13
172,Researcher for AI Application (CV/NLP/Data Mining),FEDML,Agricultural-Research Engineer,"Sunnyvale, CA",2024-01-12
173,"Staff Machine Learning Engineer, Identity",Stripe,Mechanical Research Engineer,"New York, United States",2024-01-13
174,Database Architect,PANGEATWO,Modeler,"Birmingham, AL",2024-01-13
175,Volunteer: website maintenance/content manager - Joomla required,VolunteerMatch,Maintenance Mechanic,"Mill Valley, CA",2024-01-13
176,Senior Data Scientist,Geisinger,Microbiologist,"Home, KS",2024-01-13
177,Python Data Engineer,"Logic20/20, Inc.",Model,"Dallas, TX",2024-01-13
178,Sr. Data Architect,Job Juncture,Architect,"Stamford, CT",2024-01-12
179,Data Architect,Dice,Modeler,United States,2024-01-13
180,Cloud Data Architect,Onix,Architect,United States,2024-01-12
181,Data/CRM Specialist,Creative Circle,Model,"Schaumburg, IL",2024-01-13
182,Data Engineer,Scipher Medicine,Extra,"Waltham, MA",2024-01-13
183,Data analyst,Stellar Professionals,Data Entry Clerk,"Richmond, VA",2024-01-13
184,Data Engineer,Intelletec,Data Base Administrator,"Arlington, VA",2024-01-13
185,"Senior, Data Engineer",Walmart,Data Base Administrator,"Sunnyvale, CA",2024-01-13
186,Data Scientist,AffiniPay,Chemist,"Austin, TX",2024-01-12
187,Sr. MLOps Engineer,Dice,Value Engineer,"Dallas, TX",2024-01-14
188,Database Manager,SAIC,Data Base Administrator,"Aurora, CO",2024-01-13
189,Senior Data Analyst,Monogram,Data Communications Analyst,"Boston, MA",2024-01-13
