job_id,skill
1,"Machine Learning, Programming, Python, Scala, Java, Data Engineering, Distributed Computing, Statistical Modeling, Optimization, Data Pipelines, Cloud Computing, DevOps, Software Development, Data Gathering, Data Preparation, Data Visualization, Machine Learning Frameworks, scikitlearn, PyTorch, Dask, Spark, TensorFlow, Distributed File Systems, Multi node Database Paradigms, Open Source ML Software, Responsible AI, Explainable AI"
2,"C++, Python, PyTorch, TensorFlow, MXNet, CUDA, OpenCL, OpenVX, Halide, SIMD programming models, MLspecific accelerators, Linux/unix environments, Deep learning frameworks, Computer vision deep learning models, ML software and hardware technology, Inference on edge platforms, Cloud ML training pipelines, HPC experience, Performance troubleshooting, Profiling, Roofline model, Analytical skills, Communication skills"
3,"ETL, Data Integration, Data Transformation, Data Warehousing, Business Intelligence, Data Modeling, Data Architecture, Data Quality, Data Validation, Data Cleansing, Performance Optimization, Performance Tuning, Troubleshooting, Documentation, Reporting, Data Analysis, Collaboration, Communication, SQL, Informatica, Talend, Apache NiFi, AWS Redshift, Azure SQL Data Warehouse, Financial/Banking, CloudBased Data Platforms, Regulatory Compliance"
4,"Data Lakes, Data Bricks, Azure Data Factory Pipelines, Spark, Python, Business Intelligence, Data Warehouse, SQL Server, Azure, ETL/ELT, SQL Server Integration Services, TSQL, Data Formatting, Data Capture, Data Search, Data Retrieval, Data Extraction, Data Classification, Information Filtering, Data Mining Architectures, Modeling Standards, Reporting, Data Analysis Methodologies, Data Engineering, Database File Systems Optimization, API's, Analytics as a Service, Relational Databases, Dimensional Databases, Entity Relationships, Data Warehousing, Facts, Dimensions, Star Schema Concepts, Star Schema Terminology, Project Management, Organizational Skills, Collaboration, Communication, Technical Presentaion Skills, 12+ Years of Relevant Experience"
5,"Java, Scala, Python, RDBMS, NoSQL, Redshift, Snowflake, Unit testing, Agile engineering, Big data technologies, Cloud computing (AWS Microsoft Azure Google Cloud), Distributed data/computing tools (MapReduce Hadoop Hive EMR Kafka Spark Gurobi MySQL), Realtime data and streaming applications, NoSQL implementation (Mongo Cassandra), Data warehousing (Redshift Snowflake), UNIX/Linux, Shell scripting"
6,"Data Warehouse (DW), Extract/Transform/Load (ETL), Oracle, VPD, MuleSoft, Cloudera Apache Hadoop Ecosystem, Hadoop, Java, Python, R, AI/ML, Predictive Analytics, Business Objects, Tableau, OBIA/OBIEE, Oracle Cloud Financials, Power Designer, Erwin, UNIX, ODBC, JDBC, Perl DBI, Shell Scripting, PL/SQL, SQL Developer, SQL Plus, SQL Loader, TOAD, Data Profiling, SourceTarget Mapping, Transformations, Business Rules, OWB, ODI, Data Stage, Informatica, SQL, Unix Server, Windows Workstation, Windows Server, Microsoft Office, Excel, Analytic Skills, ProblemSolving, Communication Skills, Teamwork, Accountability, Attention to Detail, Accuracy"
7,"Machine Learning, Generative AI, Cloudbased services, Risk management, Project management, Process management, Data model, PRIME system, Lean, Green Belt Certification, CRISC, CISM, CRCM, CIPP, ABA Risk Management Certification, Compliance, Legal, Regulatory, Operations, Cybersecurity"
8,"Data Loss Prevention (DLP), Cybersecurity, Web Proxy, Email, Endpoint Solutions, Symantec Data Loss Prevention (DLP), Agile Delivery, Public Cloud Security, MultiCloud Environments, IT Delivery Projects, JIRA, Cloud Certifications (AWS), Security Certifications (CISSP), Computer Science, Systems Engineering, Software Development Practices, Platform Engineering"
9,"Problem solving, Data analysis, Predictive analysis, Trend identification, Performance monitoring, Communication, Reporting, Financial risk management, Business process analysis, Excel, Visio, Smartsheet, SNOW, SAP, Tableau, SQL, R, Power BI, Collaboration, Leadership, Bachelor's degree, Professional certification, Graduate degree"
10,"Machine Learning, System Design, Multimodal Input, Prototyping, Data Management, Scalability, Reliability, Performance, DevOps, Python, C++, Distributed Systems, Infrastructure Design, Complex Systems, Software Engineering, ML Pipeline Automation, ML Workflows, ML Systems"
11,"SQL, Database Administration, Advanced Statistical Analysis, Predictive Analytics, Forecasting Techniques, Data Abnormalities Detection, Contact Workforce Management, Crossfunctional Collaboration, Performance Analytics, Business Intelligence, Root Cause Analysis, Forecasting and Scheduling, Service Level Management, Hindsight Analysis, Business Communication, Problemsolving, Decisionmaking, Excel, ACD, BackOffice Work Routing, WFM Software, Bachelor's degree in business accounting finance statistics or economics"
12,"Master Data Analyst, Data/Master Data Experience, Polished People/Senior Stakeholder Engagement, Data Cleansing, Data Ingestion Pipelines, Business Process Workflow, Data Matching & Deduplication, Standardization, SemiAgile Delivery Framework, MDM Strategies, MDM Policies, MDM Functional Implementation, MDM Requirement Analysis, Deterministic Matching, Probabilistic Matching, Master Data Hierarchy Management, HighLevel Design, Data Profiling, Data Scorecard Development, Exception Management, LargeScale MDM Project Implementation, Thought Leadership, Data Quality Analysis, Data Governance Policies, Data Transformation, ETL Flows, SourcetoTarget Mapping, Requirements Gathering, Agile/Waterfall SDLC, Time Management, Business Communication, Analytical Skills, ProblemSolving, Informatica MDM/DG, SAP MDM, Data Enrichment, Dun & Bradstreet, SQL"
13,"Corporate Law, Private Equity, Venture Capital, M&A, Securities Law, SEC Periodic Reporting, Stock Exchange Rules, Corporate Governance, Capital Raising, Mergers and Acquisitions, Equity Offerings, Debt Offerings, Banking and Finance, Litigation, Collaborative Environment, Exchange Regulations"
14,"SQL, AWS, DBA case tools, SQL Server, SQL programming, Scripts, Structured query language, Algorithmic thinking, Programming languages API, Data backup, Data recovery, Data security, Data integrity, Database standards, End user applications, Database design, Database documentation, Database coding, Problemsolving, Attention to detail, Accuracy, Communication skills, Interpersonal skills"
15,"Machine Learning Operations (ML Ops), Engineering, Evaluation Experimentation, Monitoring Processes, ML Workflows, Data Engineering, ETL Pipelines, LLMs, NLP, Reinforcement Learning, Probabilistic Graphs, Deep Learning, Autonomy, Flexibility, Teamfirst Mentality, Mentoring, NYCbased, Hiring, Financial Workflows, Product Ownership"
16,"Data Engineering, Data Analytics, Data Warehousing, Data Modelling, Data Pipeline Design, ETL (Extract Transform Load), Cloud Computing, Data Lake, Data Strategy, Data Management, Data Governance, SQL, Python, Advanced Statistics, Machine Learning, Team Leadership, Business Requirements Gathering, Business Intelligence, Reporting, Data Visualization, Data Quality, Data Security, Full UK Driving Licence"
17,"Data Analysis, Data Visualization, Statistical Techniques, Machine Learning, Data Mining, SQL, Python, R, Tableau, Power BI, Data Modeling, Data Quality Management, Data Processing, A/B Testing, Statistical Modeling, Hypothesis Testing, Data Management, ETL Processes, Business Intelligence, DataDriven Decision Making"
18,"Hardware Validation, ML/AI Frameworks, Test Execution, Automation Development, Debugging, GPU, HighPerformance Computing, Python, Linux, C/C++, Schematics, Circuit Design, Data Traffic Management, Electrical Laboratory Equipment, Computer Architecture, Processors, Interconnects, Firmware, ML/AI Models, Workloads"
19,"Data governance, Data lineage, Data interdependencies, Data standards, Data consistency, Governance rules, Governance controls, Data quality, Data analytics, Business intelligence, Data lakes, Data Warehouse, Data gaps, Data flows, Data catalogues, Relational databases, Data transformations, Data mappings, Data modelling, Data findings, Data recommendations, Data consolidation, Agile Product Owner, Healthcare IT systems, Electronic Medical Record systems, EDW, Data Maturity Model, Tableau, Power BI, Data modernization, Data security, Data stewards, Dashboards, Data assets, Data feeds, Data privacy, Data governance policies, Data governance meetings, Third party data, First party data, Derivative data, Second party data, Product backlog, Product development, Product stakeholders, Health Informatics, Public Health, Data Science, Epidemiology, Biostatistics, Public Policy, Health Policy, Health Services Research, Health Information Sciences, Computer Science, Data governance efforts, Data sharing projects, Agile Product Owner, Enterprisewide data governance, Data lakes, Data maturity models, Health and human services"
20,"SQL Server, SSIS, Power BI, Azure, AWS, Windows, Linux, PowerShell, SQL DBA, System Utilities, Debugging Tools, Monitoring Tools, Corporate Database Standards, Strategic Database Technologies, Data Management Principles, Data Management Techniques, Information Systems"
21,"Revenue Cycle, Healthcare Data Analysis, Data Visualization, Epic Clarity Reporting, SQL, Python, R, Analytic Methods, Statistical Methods, Project Management, Agile Development, Communication Skills, Technical Abilities, Epic Revenue Cycle Certification, Certified Health Data Analyst (CHDA) certification, Bachelor of Science degree, 4+ years of relevant experience, 2+ years of data analysis in healthcare, Strong grasp of analytic and statistical methods, Clinical Experience, Excellent written and oral communication skills, Excellent organizational and analytical skills, Strong technical abilities"
22,"Data Engineering, Data Architect, Data Infrastructure, Data Pipelines, AWS S3, AWS EMR, GraphQL API, Data Science, Data Analysis, SQL, NoSQL, DataFocused Programming Languages, Python, R, Scala, Petabytes of Data, Bachelor's Degree, Master's Degree, AWS Certified Cloud Data Engineer, ETL Systems, ELT Systems"
23,"Data analytics, Data engineering, Data science, Data processing, Data pipelines, Data visualizations, Machine learning, Software engineering, Python, SQL, Scala, Hadoop Distributed File System (HDFS), Spark, Presto, Linux, Ansible, Docker, Kubernetes, Jupyter Notebooks, Pandas, Bokeh, Superset, Airflow, Statistics, Communication skills, Problemsolving skills"
24,"Azure, ADLS, Databricks, Stream Analytics, SQL DW, COSMOS DB, Analysis Services, Azure Functions, Serverless Architecture, ARM Templates, Python, SQL, Scala, SparkSQL, Hadoop, Spark, Kafka, Postgres, Cassandra, Azkaban, Luigi, Airflow, Storm"
25,"Data Engineering, Business Intelligence, Data Science, Python, Snowflake, Airflow, Kubernetes, Docker, Helm, Spark, pySpark, SQL, TDD, Pair Programming, Continuous Integration, Automated Testing, Deployment, StreamProcessing Systems, Kafka, Storm, SparkStreaming, Dimensional Data Modeling, Schema Design, ETL, Data Warehouses, Data Management Tools, Data Classification, Data Retention"
26,"Data Lifecycle Management, File System Management, Data Governance, Network Share Management, Project Folder/File Structure Creation, Network Share/File/Folder Permissions Management, Large Data Set Migration, Legacy to Modern Systems Data Transfer, NonHomogenous File/Directory Structures Data Integration, Microsoft Distributed File Systems, Windows Server OS Administration, Microsoft Office 365, Active Directory, Granular NTFS File Permissions, Windows File ACLs, NFS Shares, CloudBased Storage Systems, Azure, AWS, Communication Skills, Troubleshooting, Organizational Skills, SQL"
27,"Software Engineering, Microservices, Full Stack Development, Cloud Computing (AWS Microsoft Azure Google Cloud), Programming Languages (Python Go), AWS Tools and Services, Data Management, Data Compliance, Mentoring, Technical Problem Solving, Agile Practices, People Management, Open Source Frameworks (Airflow Spark Presto Snowflake), Regulatory Compliance"
28,"Senior Architect, Data Analytics, Product Line, Project Management, Design, Strategy, Agile Development, Collaboration, Presentation Skills, Leadership, Communication, Business Acumen, Master's Degree, Computer Science, Engineering, Math, Security Clearance, Washington DC"
29,"Variable Cost Productivity, Data Analytics, Costbenefit Analysis, Return on Investment Analysis, Product Configuration Management, Locally Sourced Items, Data Mining, LEAN, Six Sigma, ISO, CFDA, SQL, HTML, CSS, JavaScript, Python, C++, Java"
30,"Python, Java, Scala, Agile, Data Modeling, Machine Learning, Distributed Microservices, Cloud Computing, AWS, Microsoft Azure, Google Cloud, Open Source RDBMS, NoSQL, Cloudbased Data Infrastructure, SQL, Hadoop, Hive, EMR, Kafka, Spark, Gurobi, MySQL, UNIX/Linux, Agile Engineering Practices"
31,"Data science, Machine learning, Artificial intelligence, Data management, Data analysis, Data visualization, Business intelligence, Data mining, R, Python, Pytorch, Tensorflow, Model building"
32,"Data Analysis, Reporting, Team Management, Data Systems Improvement, SQL, Tableau, Excel, Leadership, Decision Making, Time Management, Communication, Team Work, Annual Leave, Benefits, Performance Bonus, Pension Scheme, Life Assurance, Colleague Discount, Training"
33,"Data Visualization, Business Intelligence, Power BI, DAX, SQL, TransactSQL, OLTP, OLAP, ETL/ELT, Excel, Data Structures, Data Integrity, Software Development Lifecycle, Security, Privacy, Documentation, Communication, Interpersonal Skills, Presentation Skills, Critical Thinking, Problem Solving, Analytical Skills, Initiative, Teamwork, Time Management, Prioritization, DoD 8570, SECNAV 5239.2, Secret Clearance or ability to obtain, Bachelor's degree in Computer Science Information Systems or Computer Engineering, 4 years related experience, 3+ years of BI development using Power BI or equivalent tool, 3+ years of SQL and databases, 3+ years of Excel experience, Knowledge of ETL/ELT techniques and methodologies along with best practices, Exceptional analytical critical thinking and problemsolving abilities, Highly selfdirected, Takes initiative, Can work independently while being a strong contributor to a team, Effective prioritization and time management skills, Can thrive in a dynamic environment in which priorities might change frequently, Excellent communication and interpersonal skills, Strong documentation and presentation skills, Work requires CSWF certification, Security+ or CISSP"
34,"Data Loss Prevention (DLP), Cybersecurity, DLP Controls, SaaS, IaaS, Information Security Policy, Standards, Web proxy, Email solutions, Endpoint solutions, Communication skills, Technical initiatives, Collaboration, Enterprise cybersecurity, Technical delivery, Product security, Software development practices, Platform engineering, Troubleshooting, Investigating, Configuring, Supporting, Data protection, Symantec Data Loss Prevention (DLP), High School Diploma, GED, Cybersecurity, Information technology, Agile delivery model, Public cloud security, Multicloud environments, JIRA, CISSP, GIAC, CISM, CCSP, CISA, Security+, AWS Cloud Practitioner, AWS Solution Architect  Associate, AWS Developer  Associate, AWS Security  Specialty, AWS Solution Architect  Professional, McLean VA, Performancebased incentive compensation, Health, Financial benefits, Capital One Careers website, Equal opportunity employer, Diversity and inclusion, Accommodation during the application process, Technical support, Recruiting process"
35,"Data Management, Statistical Analysis, SAS, R, Simulation Modeling, AgentBased Modeling, Dynamic Modeling, Discrete Event Modeling, Data Science, Health Economics, Healthcare, Large Language Models, Longitudinal Surveys, Statistical Programming, Medicare, Medicaid, Marketscan Data, Problem Solving, Interpersonal Skills, Communication Skills, Teamwork, Statistics, Biostatistics, Quantitative Analysis, U.S. Citizenship, Security Clearance"
36,"Data Modelling, Data Architecture, Data Governance, Data Standards, Data Analysis, Data Synthesis, Data Profiling, Source System Analysis, Metadata Management, AWS, Azure, SQL Server, RedShift, JIRA, Confluence, Draw IO, Visio, Collibra, Informatica, Communicating between Technical and NonTechnical Subjects, Engaging Collaboratively with Stakeholders, Leading Process Development, Evaluating Existing Data Systems, Providing Comprehensive Documentation, Championing Opportunities for Enhancing Current Data Architecture, Designing Data Architecture that Deals with Problems Spanning Different Business Areas, Identifying Similarities between Problems to Devise Common Solutions, Understanding the Impact on the Organisation of Emerging Trends in Data Tools Analysis Techniques and Data Usage, Working within a Strategic Context and Communicating How Activities Meet Strategic Goals"
37,"Python, Data Engineering, Data Science, Business Intelligence, Snowflake, Airflow, Kubernetes, Docker, Helm, Spark, PySpark, SQL, Data Warehouses, Kafka, Storm, SparkStreaming, ETL, TDD, Pair Programming, Continuous Integration, Deployment, Agile Engineering Practices, Dimensional Data Modeling, Schema Design, Legal Compliance, Data Classification, Data Retention"
38,"Data Quality Manager, Data Quality Standards, Data Quality Framework, Data Quality KPIs, Data Council, Data Owners, Data Stewards, Data Quality Issues, Data Quality Initiatives, Microsoft Purview, Data Quality Rules, Data Quality Processes, Data Quality Procedures, Data Quality Mindset, Best Practices, ProblemSolving, Analytical Abilities, Communication Skills, Collaboration Skills, SelfStarter, Initiative, Bachelor's Degree, Computer Science, Information Management, Statistics, Data Quality Management, Data Quality Concepts, Data Quality Methodologies, Data Quality Frameworks, Microsoft Purview, Data Quality Tools, Competitive Salary, Development Opportunities, Event Day Tickets, Internal Events, Free Lunches, Free Private Medical Cover, Contributory Pension Scheme, Additional Thank You Days, Volunteering Days, Annual Leave, Hybrid Working Model, Remote Work, Fixed Location, Wembley Stadium, St. George's Park, Processing Centre, Homebased Contract"
39,"Machine learning, Deep learning, Computer vision, Object detection, Python, C++, Linux, Git, Automotive AI, Medical device, Data pipelines, Design, Deployment, Algorithm optimization"
40,"Ontology, Data Modeling, Linked Data, SPARQL, Graph Databases, Python, R, JSON, OpenAPI/YAML, AVRO, SQL, Protégé, TopQuadrant, PoolParty, Stardog, AnzoGraph, Neptune, Data.World, Agile Principles, Processes, Methodologies, Amazon Web Services, Communication Skills, Project Management, ProblemSolving, DetailOrientation, Reading Comprehension, Writing Skills"
41,"Data Analytics, Data Engineering, Data Mining, Exploratory Analysis, Predictive Analysis, Statistical Analysis, Artificial Intelligence, Machine Learning, Data Visualization, Microsoft Office (Power BI), Tableau, R, Python, SQL, MultiINT Analytics, Automated Predictive Analytics, TS/SCI, Master's Degree, Bachelor's Degree, 12+ Years of Experience, 5+ Years of Related Experience"
42,"ETL, Master Data Management, Data pipelines, Databricks, AWS services, Data quality, Data validation, Data cleansing, Data enrichment, Agile Scrum SDLC, Unit testing, Integration testing, User acceptance testing, Scala, Java, Apache Spark, AWS Glue, Data Lakehouse architecture, OpenSearch, Amazon S3, Amazon Redshift, Tika, Docker, ElasticSearch, NoSQL databases, AWS Lambda, SQS, NiFi"
43,"Database Platform Operations, Microsoft SQL Server, Oracle, Sybase ASE, MongoDB, Snowflake, Unix / Linux, Windows Server, Bash, PowerShell, Python, SQL, TSQL, PLSQL, Clustering, HighAvailability, Replication, Disaster Recovery, Backup and Recovery, SQL and Systems Performance Tuning, Network Optimization, Storage Optimization, Server Optimization, Virtualisation, Logical and Physical Database Design, CIS Security Hardening, Security and Auditing, AWX / Ansible Tower, Git, Ansible, Terraform, TeamCity, Serena Deployment Automation (SDA), Jenkins, Kubernetes, Docker, Infrastructure as Code, Continuous Integration (CI), Continuous Development (CD), Agile, Site Reliability Engineering, DevOps, Active Directory, LDAP, Kerberos, BMC ControlM, Oracle Cloud Control, IBM Tivoli / Netcool, Oracle ODA, Nutanix HCI, VMWare ESX, Networking Protocols (TCP/IP DNS DHCP VLAN’s), Cloud Computing, IaaS, PaaS, SaaS, Azure, AWS, GCP, Oracle, GDPR, SOX, Dell EMC PowerStore (SAN), Isilon (NAS), Rubrik, EMC Networker, Data Domain, IBM Tivoli Storage Manager, CyberArk, Splunk, Qualys, Cisco Tetration, ServiceNow, JIRA, Confluence, Communication, Interpersonal Skills, Pressure Handling, ProblemSolving Skills, ResultsDriven, Accountability, Proactive Approach, Motivation, Urgency Management, Prioritization, Structured Approach, Logical Approach, Attention to Detail, Accuracy, Performance Under Pressure, Conflict Management, Large Workload Management, Tight Deadline Management, Complex Technical Communication, Diversity and Inclusion"
44,"Data Analysis, Machine Learning, Python, PySpark, SQL, Statistical Models, Analytics Environment, Data Science, Communication Skills, Collaboration Skills, Analytical Skills, Problem Solving Skills, Bachelor's Degree in Computer Science Computer Information Systems Mathematics Statistics or Economics, Experience in a Consumer Packaged Goods Company"
